# llvm-z80 cost-model measurement (Phase 0 harness)
# tag: p3c1-flag-off
# date: 2026-06-08T19:08:37Z
# clang: /Users/ravn/z80/llvm-z80/build-macos/bin/clang
# clang_sha: b081796b8c31
# clang_built: 2026-06-08T21:08:23Z
# clang_uncommitted_changes: 3
# clang_extra: '(none)'
# build_dir: /Users/ravn/z80/llvm-z80/build-macos
tag	target	metric	value
p3c1-flag-off	aes_Oz_default	text	2195
p3c1-flag-off	aes_Oz_default	bin	2555
p3c1-flag-off	aes_Oz_default	tstates	16594443
p3c1-flag-off	aes_Oz_default	verify	PASS
p3c1-flag-off	aes_O2_default	text	4367
p3c1-flag-off	aes_O2_default	bin	5556
p3c1-flag-off	aes_O2_default	tstates	16536005
p3c1-flag-off	aes_O2_default	verify	PASS
p3c1-flag-off	autoload	text_raw	1982
p3c1-flag-off	autoload	prom_bin	1683
p3c1-flag-off	autoload	prom_free	365
p3c1-flag-off	autoload	main_relocated_size	621
p3c1-flag-off	autoload	rom_o_text	1859
p3c1-flag-off	cpnos	prom1_bin	1992
p3c1-flag-off	cpnos	prom1_free	56
p3c1-flag-off	cpnos	payload	1998
p3c1-flag-off	rcbios	bios_bytes	5915
